scale,variant,method,preference,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,feasible,violation_count,runtime_seconds,train_time_seconds
small,heuristic,Heuristic,1.00_0.00,1619.8536580000005,11.075167104755543,1.0,1.0,1619.8536580000005,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.75_0.25,1619.8536580000005,11.075167104755543,1.0,1.0,1217.6590352761893,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.50_0.50,1619.8536580000005,11.075167104755543,1.0,1.0,815.464412552378,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.25_0.75,1619.8536580000005,11.075167104755543,1.0,1.0,413.2697898285668,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.00_1.00,1619.8536580000005,11.075167104755543,1.0,1.0,11.075167104755543,1.0,1.0,True,0,0.0,
small,full_transformer,PPO,1.00_0.00,1351.70725,12.637797847503792,0.8344625721739115,1.1410931977791354,1351.70725,0.8344625721739115,0.8344625721739115,True,0,1.3469688000623137,101.70729069993831
small,full_transformer,PPO,0.75_0.25,1351.70725,11.52236540627757,0.8344625721739115,1.0403784698950507,1016.6610288515693,0.8859415466041962,0.8859415466041962,True,0,1.2415036000311375,101.70729069993831
small,full_transformer,PPO,0.50_0.50,1453.33525,10.575552363908418,0.8972015730077758,0.9548887401768776,731.9554011819542,0.9260451565923267,0.9260451565923267,True,0,1.1511773999081925,101.70729069993831
small,full_transformer,PPO,0.25_0.75,1636.43025,10.024564871890627,1.0102333886262702,0.9051389272118702,416.62598615391795,0.9314125425654702,0.9314125425654702,True,0,1.2538232000079006,101.70729069993831
small,full_transformer,PPO,0.00_1.00,1553.2372500000001,10.506100350409186,0.9588750454888313,0.9486177726291817,10.506100350409186,0.9486177726291817,0.9486177726291817,True,0,1.1022884999401867,101.70729069993831
small,hybrid_transformer_fc,PPO,1.00_0.00,1351.70725,11.52236540627757,0.8344625721739115,1.0403784698950507,1351.70725,0.8344625721739115,0.8344625721739115,True,0,1.1866042000474408,94.25266120000742
small,hybrid_transformer_fc,PPO,0.75_0.25,1351.70725,11.52236540627757,0.8344625721739115,1.0403784698950507,1016.6610288515693,0.8859415466041962,0.8859415466041962,True,0,1.0720730000175536,94.25266120000742
small,hybrid_transformer_fc,PPO,0.50_0.50,1453.33525,10.575552363908418,0.8972015730077758,0.9548887401768776,731.9554011819542,0.9260451565923267,0.9260451565923267,True,0,1.0975093999877572,94.25266120000742
