scale,instance,preference,method,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,cost_ref,risk_ref,fixed_cost,distance_cost,processing_cost,transport_risk,coload_risk,producer_inventory_risk,facility_inventory_risk,feasible,violation_count,fallback_used,fallback_reason,runtime_seconds,ppo_train_time,solver_status,gap_percent,gap_baseline
large,0,1.00_0.00,PPO,20304.553342,1175.9952152852268,0.6689271481361451,0.6643162925805698,20304.553342,0.6689271481361451,0.6689271481361451,30353.908341999995,1770.233890722467,300.0,18221.052,1783.501342,728.115564660931,213.4684116242959,234.411239,0.0,True,0,False,,2.097628500079736,3.638900200021453,,0.0,PPO
large,0,0.75_0.25,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,23207.98972918061,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.407,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,False,,1.049996353685856e-05,,,49.161472500585994,PPO
large,0,0.75_0.25,GA,31357.173342,1564.652733365227,1.033052251087278,0.8838677993712242,23909.043189841308,0.9957561381582646,0.9957561381582646,30353.908341999995,1770.233890722467,350.0,29223.672,1783.501342,1036.653655149157,293.58783921606994,234.411239,0.0,True,0,False,,22.870848499936983,,,48.528451819183694,PPO
large,0,0.75_0.25,PPO,21495.916341999997,986.248527045761,0.7081762288995449,0.5571289377152607,16368.499388261434,0.6704144061034738,0.6704144061034738,30353.908341999995,1770.233890722467,300.0,19412.414999999997,1783.501342,603.7414992651509,148.09578878061,234.411239,0.0,True,0,False,,2.122142600012012,3.638900200021453,,0.0,PPO
large,0,0.50_0.50,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,16062.07111636123,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.407,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,False,,7.400056347250938e-06,,,60.70785835657484,PPO
large,0,0.50_0.50,GA,31357.173342,1564.652733365227,1.033052251087278,0.8838677993712242,16460.913037682614,0.958460025229251,0.958460025229251,30353.908341999995,1770.233890722467,350.0,29223.672,1783.501342,1036.653655149157,293.58783921606994,234.411239,0.0,True,0,False,,22.825776299927384,,,54.03205797498162,PPO
large,0,0.50_0.50,PPO,22388.973342,897.3253684478863,0.7375977119566147,0.5068965028579756,11643.149355223944,0.6222471074072952,0.6222471074072952,30353.908341999995,1770.233890722467,350.0,20255.472,1783.501342,535.6101520220392,127.30397742584704,234.411239,0.0,True,0,False,,2.040075300028548,3.638900200021453,,0.0,PPO
large,0,0.25_0.75,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,8916.152503541849,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.407,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,False,,3.200024366378784e-06,,,87.0589575394112,PPO
large,0,0.25_0.75,GA,31357.173342,1564.652733365227,1.033052251087278,0.8838677993712242,9012.78288552392,0.9211639123002376,0.9211639123002376,30353.908341999995,1770.233890722467,350.0,29223.672,1783.501342,1036.653655149157,293.58783921606994,234.411239,0.0,True,0,False,,22.93086080008652,,,72.31196115780804,PPO
large,0,0.25_0.75,PPO,25515.40734200001,765.7832054591445,0.8405971005287294,0.4325887158033187,6953.18923959436,0.5345908119846714,0.5345908119846714,30353.908341999995,1770.233890722467,400.0,23331.906000000006,1783.501342,431.64068516314967,99.73128129599483,234.411239,0.0,True,0,False,,2.031834400026128,3.638900200021453,,0.0,PPO
large,0,0.00_1.00,Heuristic,30353.908341999995,1770.233890722467,1.0,1.0,1770.233890722467,1.0,1.0,30353.908341999995,1770.233890722467,300.0,28270.407,1783.501342,1186.1206173759513,349.7020343465159,234.411239,0.0,True,0,False,,1.2999982573091984e-05,,,118.69168664326119,PPO
large,0,0.00_1.00,GA,31357.173342,1564.652733365227,1.033052251087278,0.8838677993712242,1564.652733365227,0.8838677993712242,0.8838677993712242,30353.908341999995,1770.233890722467,350.0,29223.672,1783.501342,1036.653655149157,293.58783921606994,234.411239,0.0,True,0,False,,22.913848600001074,,,93.29453981416063,PPO
large,0,0.00_1.00,PPO,27333.155342000005,809.4655621775622,0.9004822388614699,0.4572647526520936,809.4655621775622,0.4572647526520936,0.4572647526520936,30353.908341999995,1770.233890722467,400.0,25149.65400000001,1783.501342,462.6323741315281,112.42194904603414,234.411239,0.0,True,0,False,,2.055659600067884,3.638900200021453,,0.0,PPO
