scale,variant,method,preference,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,feasible,violation_count,runtime_seconds,train_time_seconds
small,heuristic,Heuristic,1.00_0.00,1619.8536580000005,11.075167104755543,1.0,1.0,1619.8536580000005,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.75_0.25,1619.8536580000005,11.075167104755543,1.0,1.0,1217.6590352761893,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.50_0.50,1619.8536580000005,11.075167104755543,1.0,1.0,815.464412552378,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.25_0.75,1619.8536580000005,11.075167104755543,1.0,1.0,413.2697898285668,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.00_1.00,1619.8536580000005,11.075167104755543,1.0,1.0,11.075167104755543,1.0,1.0,True,0,0.0,
small,full_transformer,PPO,1.00_0.00,1351.70725,12.637797847503792,0.8344625721739115,1.1410931977791354,1351.70725,0.8344625721739115,0.8344625721739115,True,0,1.2367785999085754,415.5848911999492
small,full_transformer,PPO,0.75_0.25,1380.1862500000002,11.962494230352595,0.8520437899952563,1.080118621886621,1038.1303110575882,0.9090624979680975,0.9090624979680975,True,0,1.4748243999201804,415.5848911999492
small,full_transformer,PPO,0.50_0.50,1453.33525,10.575552363908418,0.8972015730077758,0.9548887401768776,731.9554011819542,0.9260451565923267,0.9260451565923267,True,0,1.301225999952294,415.5848911999492
small,full_transformer,PPO,0.25_0.75,1636.43025,10.024564871890627,1.0102333886262702,0.9051389272118702,416.62598615391795,0.9314125425654702,0.9314125425654702,True,0,1.6137659000232816,415.5848911999492
small,full_transformer,PPO,0.00_1.00,1553.2372500000001,10.506100350409186,0.9588750454888313,0.9486177726291817,10.506100350409186,0.9486177726291817,0.9486177726291817,True,0,1.7710990000050515,415.5848911999492
small,hybrid_transformer_fc,PPO,1.00_0.00,1351.70725,13.342192489190019,0.8344625721739115,1.204694463116592,1351.70725,0.8344625721739115,0.8344625721739115,True,0,1.5730222000274807,429.9140285999747
small,hybrid_transformer_fc,PPO,0.75_0.25,1351.70725,11.52236540627757,0.8344625721739115,1.0403784698950507,1016.6610288515693,0.8859415466041962,0.8859415466041962,True,0,1.3088865999598056,429.9140285999747
small,hybrid_transformer_fc,PPO,0.50_0.50,1453.33525,10.575552363908418,0.8972015730077758,0.9548887401768776,731.9554011819542,0.9260451565923267,0.9260451565923267,True,0,1.307790799997747,429.9140285999747
