scale,variant,method,preference,cost,risk,normalized_cost,normalized_risk,weighted_objective_raw,weighted_objective_normalized,weighted_objective,feasible,violation_count,runtime_seconds,train_time_seconds
small,heuristic,Heuristic,1.00_0.00,1619.8536580000005,11.075167104755543,1.0,1.0,1619.8536580000005,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.75_0.25,1619.8536580000005,11.075167104755543,1.0,1.0,1217.6590352761893,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.50_0.50,1619.8536580000005,11.075167104755543,1.0,1.0,815.464412552378,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.25_0.75,1619.8536580000005,11.075167104755543,1.0,1.0,413.2697898285668,1.0,1.0,True,0,0.0,
small,heuristic,Heuristic,0.00_1.00,1619.8536580000005,11.075167104755543,1.0,1.0,11.075167104755543,1.0,1.0,True,0,0.0,
small,full_transformer,PPO,1.00_0.00,1351.70725,12.226760047963795,0.8344625721739115,1.103979735232507,1351.70725,0.8344625721739115,0.8344625721739115,True,0,0.36088139994535595,2.0297032999806106
small,full_transformer,PPO,0.75_0.25,1351.70725,11.52236540627757,0.8344625721739115,1.0403784698950507,1016.6610288515693,0.8859415466041962,0.8859415466041962,True,0,0.3613966000266373,2.0297032999806106
small,full_transformer,PPO,0.50_0.50,1453.33525,10.575552363908418,0.8972015730077758,0.9548887401768776,731.9554011819542,0.9260451565923267,0.9260451565923267,True,0,0.370872899889946,2.0297032999806106
small,full_transformer,PPO,0.25_0.75,1636.43025,10.024564871890627,1.0102333886262702,0.9051389272118702,416.62598615391795,0.9314125425654702,0.9314125425654702,True,0,0.3272205999819562,2.0297032999806106
small,full_transformer,PPO,0.00_1.00,1636.43025,10.024564871890627,1.0102333886262702,0.9051389272118702,10.024564871890627,0.9051389272118702,0.9051389272118702,True,0,0.3333707000128925,2.0297032999806106
small,hybrid_transformer_fc,PPO,1.00_0.00,1351.70725,11.52236540627757,0.8344625721739115,1.0403784698950507,1351.70725,0.8344625721739115,0.8344625721739115,True,0,0.4097002000780776,1.8664365999866277
small,hybrid_transformer_fc,PPO,0.75_0.25,1351.70725,11.52236540627757,0.8344625721739115,1.0403784698950507,1016.6610288515693,0.8859415466041962,0.8859415466041962,True,0,0.32839669997338206,1.8664365999866277
small,hybrid_transformer_fc,PPO,0.50_0.50,1453.33525,10.575552363908418,0.8972015730077758,0.9548887401768776,731.9554011819542,0.9260451565923267,0.9260451565923267,True,0,0.34250549995340407,1.8664365999866277
